Id,SalePrice
1461,117950.0
1462,200900.0
1463,173695.0
1464,179190.0
1465,209798.7
1466,171190.0
1467,152630.0
1468,162060.0
1469,173510.0
1470,118600.0
1471,191250.0
1472,106370.0
1473,103880.0
1474,120500.0
1475,124176.4
1476,417023.9
1477,284211.3
1478,322780.3
1479,322121.8
1480,475086.8
1481,302025.0
1482,216806.5
1483,209204.0
1484,208643.2
1485,212520.0
1486,220540.0
1487,321335.7
1488,248113.2
1489,241840.0
1490,247198.0
1491,199062.8
1492,107490.4
1493,248610.0
1494,236134.5
1495,222830.0
1496,235390.0
1497,186198.3
1498,161077.3
1499,162540.0
1500,166780.0
1501,169290.0
1502,184079.8
1503,276412.8
1504,233417.8
1505,220447.0
1506,175000.0
1507,205030.0
1508,178940.0
1509,133090.0
1510,183290.0
1511,167240.0
1512,162830.0
1513,133240.0
1514,196280.5
1515,151960.0
1516,133990.0
1517,150040.0
1518,116520.0
1519,229120.0
1520,144150.0
1521,148475.0
1522,183845.0
1523,125919.8
1524,135020.0
1525,123753.4
1526,129007.5
1527,129280.0
1528,110470.0
1529,138960.0
1530,207650.0
1531,181590.0
1532,122480.0
1533,150640.0
1534,131665.8
1535,121330.0
1536,102328.7
1537,82177.9
1538,159140.0
1539,160700.0
1540,106278.7
1541,115290.0
1542,126120.0
1543,147677.1
1544,110488.7
1545,102699.3
1546,122565.0
1547,128636.4
1548,103130.0
1549,128493.4
1550,117438.7
1551,119250.0
1552,119090.0
1553,146770.0
1554,122420.0
1555,154830.0
1556,78225.0
1557,102250.0
1558,145130.0
1559,84950.0
1560,96090.0
1561,164100.0
1562,129050.0
1563,125460.0
1564,161100.0
1565,128260.0
1566,256900.0
1567,107150.0
1568,261650.0
1569,141865.0
1570,129505.0
1571,125103.2
1572,155595.0
1573,275244.1
1574,172697.9
1575,290674.8
1576,247840.0
1577,196839.0
1578,123500.0
1579,170630.0
1580,178580.0
1581,142745.0
1582,119640.0
1583,304650.0
1584,208089.0
1585,167403.3
1586,107550.0
1587,166705.0
1588,178840.0
1589,95149.3
1590,125130.0
1591,141900.0
1592,168030.4
1593,127320.0
1594,120890.0
1595,123730.0
1596,183405.0
1597,163450.0
1598,191310.0
1599,187270.0
1600,154530.0
1601,84057.9
1602,140314.9
1603,96230.0
1604,352437.0
1605,205878.0
1606,128450.0
1607,169513.7
1608,240448.9
1609,232940.0
1610,158950.0
1611,146815.0
1612,191450.0
1613,179790.0
1614,142725.0
1615,100050.0
1616,107225.0
1617,104975.0
1618,123085.0
1619,151675.0
1620,184610.0
1621,124340.0
1622,140675.0
1623,272667.8
1624,209720.0
1625,126343.4
1626,188900.0
1627,179880.0
1628,262201.0
1629,143395.0
1630,300515.1
1631,200500.0
1632,218729.0
1633,170150.0
1634,184988.2
1635,164645.0
1636,151710.0
1637,166080.0
1638,169780.0
1639,168820.0
1640,169680.0
1641,168670.0
1642,233010.0
1643,212946.8
1644,213266.8
1645,171985.0
1646,171240.0
1647,157750.0
1648,126515.8
1649,144125.0
1650,116945.0
1651,115090.0
1652,108220.0
1653,101850.0
1654,125575.0
1655,128790.0
1656,124225.0
1657,125175.0
1658,148040.0
1659,103750.0
1660,166080.0
1661,496223.8
1662,328790.0
1663,373757.4
1664,567856.4
1665,345752.1
1666,350430.6
1667,422088.7
1668,432004.0
1669,314482.6
1670,323951.6
1671,298370.4
1672,427675.2
1673,247950.0
1674,286672.2
1675,206873.3
1676,204996.9
1677,240793.4
1678,443489.1
1679,391990.4
1680,397883.7
1681,286280.0
