ImageId,Label
1,2
2,0
3,4
4,7
5,2
6,7
7,0
8,3
9,0
10,3
11,9
12,7
13,8
14,0
15,4
16,2
17,5
18,1
19,9
20,8
21,9
22,1
23,2
24,0
25,7
26,9
27,4
28,7
29,9
30,7
31,7
32,7
33,4
34,3
35,6
36,2
37,2
38,8
39,6
40,6
41,7
42,5
43,4
44,9
45,9
46,3
47,8
48,8
49,6
50,7
51,6
52,8
53,1
54,3
55,8
56,6
57,1
58,2
59,4
60,0
61,7
62,2
63,7
64,8
65,0
66,0
67,1
68,4
69,6
70,1
71,6
72,5
73,5
74,8
75,8
76,0
77,7
78,9
79,6
80,3
81,3
82,6
83,1
84,5
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,2
95,1
96,8
97,3
98,9
99,7
100,7
101,2
102,9
103,2
104,0
105,7
106,8
107,0
108,8
109,0
110,7
111,2
112,0
113,4
114,8
115,1
116,9
117,2
118,1
119,1
120,8
121,3
122,7
123,3
124,1
125,6
126,5
127,8
128,7
129,5
130,7
131,5
132,4
133,6
134,0
135,0
136,0
137,3
138,1
139,5
140,2
141,6
142,3
143,2
144,5
145,5
146,8
147,7
148,7
149,3
150,8
151,5
152,2
153,5
154,6
155,3
156,3
157,7
158,7
159,7
160,5
161,3
162,0
163,4
164,5
165,1
166,8
167,7
168,2
169,5
170,0
171,6
172,7
173,7
174,6
175,1
176,3
177,7
178,9
179,1
180,2
181,2
182,8
183,5
184,2
185,4
186,9
187,2
188,1
189,2
190,0
191,4
192,2
193,4
194,4
195,6
196,0
197,9
198,7
199,8
200,7
201,1
202,9
203,0
204,9
205,5
206,0
207,5
208,4
209,6
210,2
211,0
212,5
213,3
214,6
215,7
216,8
217,1
218,6
219,3
220,2
221,2
222,2
223,1
224,6
225,8
226,3
227,9
228,6
229,6
230,0
231,0
232,4
233,7
234,2
235,7
236,2
237,6
238,5
239,8
240,6
241,5
242,6
243,2
244,5
245,7
246,5
247,4
248,9
249,3
250,5
251,2
252,7
253,1
254,3
255,5
256,4
257,5
258,1
259,8
260,3
261,6
262,2
263,5
264,3
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,3
276,5
277,1
278,9
279,5
280,4
281,0
282,9
283,6
284,7
285,5
286,3
287,7
288,5
289,4
290,9
291,5
292,7
293,7
294,9
295,5
296,6
297,3
298,0
299,2
300,3
301,6
302,9
303,8
304,2
305,2
306,3
307,7
308,1
309,9
310,5
311,8
312,5
313,4
314,3
315,0
316,3
317,7
318,9
319,1
320,9
321,9
322,2
323,1
324,4
325,5
326,4
327,3
328,1
329,5
330,7
331,3
332,5
333,1
334,3
335,8
336,9
337,0
338,3
339,6
340,8
341,6
342,0
343,1
344,0
345,2
346,0
347,4
348,5
349,5
350,8
351,6
352,7
353,7
354,2
355,5
356,6
357,7
358,4
359,0
360,9
361,3
362,2
363,3
364,8
365,9
366,2
367,2
368,5
369,1
370,6
371,1
372,5
373,9
374,9
375,7
376,6
377,3
378,0
379,5
380,7
381,6
382,8
383,8
384,4
385,2
386,3
387,8
388,1
389,3
390,9
391,1
392,7
393,5
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,8
408,3
409,5
410,5
411,2
412,5
413,4
414,1
415,6
416,9
417,1
418,1
419,3
420,6
421,4
422,6
423,6
424,5
425,5
426,1
427,8
428,7
429,9
430,7
431,4
432,5
433,5
434,6
435,6
436,1
437,3
438,4
439,6
440,0
441,8
442,4
443,7
444,4
445,5
446,4
447,2
448,2
449,3
450,4
451,7
452,7
453,6
454,9
455,3
456,9
457,6
458,3
459,5
460,3
461,6
462,7
463,8
464,0
465,4
466,1
467,7
468,7
469,8
470,1
471,1
472,4
473,9
474,5
475,3
476,0
477,1
478,3
479,1
480,0
481,4
482,8
483,1
484,3
485,7
486,9
487,8
488,8
489,8
490,7
491,7
492,4
493,3
494,4
495,4
496,7
497,9
498,5
499,3
500,5
501,6
502,8
503,5
504,2
505,2
506,8
507,3
508,3
509,0
510,6
511,7
512,5
513,8
514,3
515,3
516,8
517,5
518,7
519,8
520,2
521,9
522,9
523,0
524,7
525,9
526,1
527,0
528,1
529,1
530,7
531,0
532,8
533,3
534,8
535,5
536,0
537,6
538,5
539,4
540,3
541,0
542,2
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,7
555,8
556,0
557,3
558,5
559,6
560,2
561,8
562,3
563,5
564,1
565,6
566,5
567,3
568,5
569,1
570,6
571,7
572,5
573,3
574,6
575,0
576,4
577,5
578,4
579,4
580,3
581,8
582,2
583,5
584,2
585,7
586,1
587,7
588,2
589,8
590,5
591,8
592,8
593,4
594,8
595,2
596,6
597,2
598,6
599,3
600,8
601,2
602,1
603,7
604,5
605,6
606,2
607,5
608,8
609,6
610,1
611,7
612,4
613,3
614,2
615,0
616,4
617,9
618,8
619,0
620,3
621,8
622,8
623,9
624,2
625,3
626,8
627,1
628,0
629,6
630,8
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,6
642,4
643,9
644,8
645,7
646,7
647,4
648,9
649,1
650,8
651,4
652,9
653,3
654,0
655,5
656,2
657,0
658,3
659,9
660,9
661,2
662,3
663,4
664,0
665,2
666,5
667,2
668,3
669,5
670,6
671,3
672,8
673,9
674,3
675,3
676,7
677,7
678,6
679,3
680,5
681,6
682,7
683,3
684,1
685,6
686,7
687,4
688,6
689,7
690,9
691,8
692,6
693,0
694,1
695,8
696,2
697,3
698,9
699,8
700,5
701,4
702,1
703,4
704,0
705,6
706,5
707,9
708,2
709,6
710,8
711,3
712,5
713,1
714,5
715,7
716,6
717,2
718,3
719,7
720,7
721,5
722,3
723,1
724,0
725,1
726,8
727,6
728,8
729,5
730,5
731,7
732,2
733,3
734,6
735,8
736,7
737,1
738,6
739,1
740,5
741,4
742,4
743,3
744,7
745,3
746,4
747,8
748,7
749,5
750,6
751,4
752,9
753,4
754,4
755,8
756,4
757,7
758,1
759,1
760,2
761,8
762,5
763,4
764,0
765,9
766,0
767,6
768,3
769,1
770,8
771,2
772,6
773,0
774,1
775,9
776,3
777,2
778,6
779,8
780,2
781,1
782,6
783,9
784,5
785,3
786,6
787,3
788,9
789,1
790,8
791,5
792,0
793,4
794,0
795,3
796,8
797,1
798,6
799,9
800,7
801,1
802,1
803,2
804,3
805,1
806,4
807,9
808,6
809,8
810,1
811,5
812,7
813,3
814,8
815,4
816,4
817,5
818,7
819,7
820,5
821,3
822,5
823,8
824,0
825,1
826,9
827,3
828,4
829,5
830,6
831,1
832,8
833,5
834,4
835,9
836,7
837,6
838,1
839,5
840,6
841,2
842,9
843,0
844,8
845,4
846,6
847,9
848,2
849,5
850,5
851,9
852,4
853,7
854,7
855,2
856,8
857,1
858,3
859,4
860,3
861,0
862,9
863,2
864,4
865,8
866,3
867,6
868,9
869,2
870,3
871,5
872,5
873,7
874,3
875,3
876,5
877,1
878,1
879,0
880,1
881,2
882,4
883,6
884,1
885,2
886,7
887,1
888,6
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,6
897,5
898,9
899,1
900,1
901,5
902,8
903,5
904,7
905,4
906,3
907,8
908,3
909,2
910,7
911,2
912,3
913,4
914,7
915,1
916,9
917,9
918,6
919,1
920,2
921,7
922,3
923,6
924,7
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,8
936,0
937,7
938,3
939,8
940,3
941,6
942,2
943,8
944,1
945,8
946,9
947,2
948,2
949,9
950,2
951,6
952,7
953,5
954,8
955,3
956,2
957,8
958,3
959,3
960,2
961,7
962,9
963,4
964,5
965,8
966,8
967,1
968,8
969,8
970,2
971,3
972,6
973,8
974,6
975,7
976,0
977,5
978,0
979,7
980,4
981,3
982,8
983,7
984,9
985,7
986,3
987,0
988,8
989,2
990,2
991,1
992,5
993,0
994,6
995,8
996,8
997,6
998,2
999,2
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,9
1008,2
1009,2
1010,7
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,0
1021,8
1022,7
1023,9
1024,6
1025,3
1026,6
1027,1
1028,8
1029,0
1030,1
1031,9
1032,1
1033,9
1034,2
1035,4
1036,5
1037,8
1038,1
1039,3
1040,0
1041,1
1042,6
1043,1
1044,9
1045,6
1046,2
1047,8
1048,7
1049,0
1050,6
1051,2
1052,6
1053,3
1054,3
1055,3
1056,1
1057,1
1058,3
1059,6
1060,0
1061,0
1062,5
1063,6
1064,8
1065,7
1066,8
1067,7
1068,5
1069,5
1070,7
1071,0
1072,5
1073,7
1074,6
1075,5
1076,2
1077,1
1078,1
1079,0
1080,4
1081,3
1082,0
1083,2
1084,3
1085,7
1086,7
1087,2
1088,6
1089,5
1090,1
1091,3
1092,1
1093,8
1094,1
1095,7
1096,6
1097,5
1098,3
1099,3
1100,3
1101,8
1102,2
1103,9
1104,1
1105,8
1106,2
1107,0
1108,6
1109,4
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,3
1117,3
1118,6
1119,4
1120,9
1121,2
1122,4
1123,2
1124,1
1125,6
1126,3
1127,4
1128,4
1129,2
1130,2
1131,5
1132,8
1133,8
1134,5
1135,3
1136,6
1137,8
1138,7
1139,8
1140,7
1141,6
1142,5
1143,2
1144,1
1145,2
1146,6
1147,9
1148,5
1149,5
1150,5
1151,3
1152,7
1153,5
1154,4
1155,7
1156,4
1157,9
1158,1
1159,5
1160,3
1161,9
1162,1
1163,4
1164,0
1165,6
1166,8
1167,5
1168,2
1169,4
1170,4
1171,8
1172,2
1173,5
1174,1
1175,0
1176,6
1177,8
1178,7
1179,8
1180,3
1181,3
1182,9
1183,9
1184,9
1185,3
1186,7
1187,0
1188,3
1189,0
1190,5
1191,7
1192,0
1193,3
1194,8
1195,8
1196,8
1197,3
1198,0
1199,4
1200,9
1201,3
1202,9
1203,3
1204,8
1205,1
1206,7
1207,9
1208,6
1209,4
1210,0
1211,1
1212,4
1213,8
1214,4
1215,6
1216,7
1217,5
1218,9
